question_id,question_type,difficulty,question,gold_answer,flat_rag_answer,graphrag_answer,flat_rag_score,graphrag_score,max_score,flat_rag_tokens,graphrag_tokens,flat_rag_time,graphrag_time,flat_rag_chunks,graphrag_triples,flat_rag_sources,graphrag_entities,graphrag_top_triples
E01,ownership,medium,"According to the corpus, how is OpenAI ownership split in 2026?","OpenAI ownership is listed as employees and investors 47%, Microsoft 27%, and OpenAI Foundation 26%.","According to the corpus, the ownership of OpenAI in 2026 is split as follows: Microsoft owns 27%, the OpenAI Foundation holds 26%, and employees and investors collectively own 47%.","In 2026, OpenAI ownership is split as follows: Employees and investors own 47%, Microsoft owns 27%, and the OpenAI Foundation holds a 26% stake.",2,3,3,1125,3123,3.3,3.89,5,27,OpenAI,OpenAI,"OpenAI, Inc.--[HAS_OWNERSHIP_SHARE]-->100%; OpenAI--[HAS_OWNERSHIP_SHARE]-->26%; OpenAI--[HAS_OWNERSHIP_SHARE]-->100 times any investment; OpenAI LP--[FOUNDED_BY]-->OpenAI, Inc.; OpenAI Foundation--[HAS_OWNERSHIP_SHARE]-->26%"
E02,valuation,easy,What valuation did OpenAI reach in its October 2025 share sale?,OpenAI conducted a $6.6 billion share sale in October 2025 that valued the company at $500 billion.,"In its October 2025 share sale, OpenAI was valued at $500 billion.",OpenAI was valued at $500 billion in its October 2025 share sale.,2,2,3,986,3203,1.05,2.51,5,34,OpenAI,OpenAI,"OpenAI LP--[FOUNDED_BY]-->OpenAI, Inc.; OpenAI--[HAS_MISSION]-->committed to OpenAI; OpenAI--[HAS_MISSION]-->forbidding them from criticizing OpenAI or acknowledging the existence of the agreement; OpenAI--[HAS_EMPLOYEES]-->OpenAI's Employees; OpenAI--[RAISED]-->$110 billion"
E03,financial,easy,What revenue and estimated net income does the corpus list for OpenAI in 2025?,OpenAI is listed with US$13.1 billion revenue in 2025 and an estimated US$9 billion net loss.,The corpus lists OpenAI's revenue in 2025 as approximately US$13.1 billion and the estimated net income as −US$9 billion.,"OpenAI's revenue in 2025 is listed as US$13.1 billion, and the estimated net income is US$−9 billion.",3,3,4,1029,3211,1.39,2.0,5,34,OpenAI,OpenAI,OpenAI--[HAS_REVENUE]-->$12 billion; OpenAI--[HAS_REVENUE]-->$3.7 billion; OpenAI--[HAS_REVENUE]-->tiered revenue model; OpenAI--[HAS_REVENUE]-->200 million; OpenAI--[HAS_REVENUE]-->1 billion
E04,governance,medium,What happened to Sam Altman in November 2023 according to the OpenAI article?,"OpenAI's board removed Sam Altman as CEO in November 2023, then reinstated him five days later after a board reconstruction.","In November 2023, Sam Altman was initially removed as CEO of OpenAI by its board of directors due to a lack of confidence in him. After his removal, Mira Murati became the interim CEO. There were talks of Altman returning to his position, but negotiations ultimately failed, and he did not return. In the aftermath, many employees, including senior leadership, resigned from the company. On November 20, 2023, Microsoft CEO Satya Nadella announced that Altman and Greg Brockman would be joining Microsoft to lead a new advanced AI research team, although it was stated they remained committed to OpenAI despite the recent events.","In November 2023, Sam Altman was removed as CEO of OpenAI by the board, which cited a lack of confidence in him. He was reinstated five days later following a reconstruction of the board.",3,5,5,1180,3829,2.53,2.4,5,49,OpenAI,Sam Altman|OpenAI|Altman,"OpenAI, Inc.--[FOUNDED_BY]-->Sam Altman; Altman--[CEO_OF]-->OpenAI; OpenAI, Inc.--[FOUNDED_BY]-->Elon Musk; OpenAI, Inc.--[FOUNDED_BY]-->Ilya Sutskever; OpenAI, Inc.--[FOUNDED_BY]-->Trevor Blackwell"
E05,founding,medium,Who pledged OpenAI's initial $1 billion in capital?,"The corpus says $1 billion was pledged by Elon Musk, Sam Altman, Greg Brockman, Reid Hoffman, Jessica Livingston, Peter Thiel, Amazon Web Services, and Infosys.","The initial $1 billion in capital for OpenAI was pledged by Elon Musk, Sam Altman, Greg Brockman, Reid Hoffman, Jessica Livingston, Peter Thiel, Amazon Web Services (AWS), and Infosys.","Elon Musk, Sam Altman, Greg Brockman, Reid Hoffman, Jessica Livingston, Peter Thiel, Amazon Web Services (AWS), and Infosys pledged a total of $1 billion in capital to OpenAI.",6,6,6,1027,3307,1.38,1.96,5,35,OpenAI,OpenAI,"OpenAI LP--[FOUNDED_BY]-->OpenAI, Inc.; OpenAI--[HAS_MISSION]-->committed to OpenAI; OpenAI--[HAS_MISSION]-->forbidding them from criticizing OpenAI or acknowledging the existence of the agreement; OpenAI--[HAS_EMPLOYEES]-->OpenAI's Employees; OpenAI LP--[INVESTED_IN]-->Microsoft"
E06,timeline,medium,"What OpenAI products or systems are listed around ChatGPT, Sora, Whisper, Codex, and Deep Research?","The corpus lists ChatGPT, Deep Research, ChatGPT Search, ChatGPT Atlas, OpenAI Codex, Sora, Whisper, and an API giving access to OpenAI models.","The OpenAI products or systems listed around ChatGPT, Sora, Whisper, Codex, and Deep Research include:

- ChatGPT
- ChatGPT Plus
- Sora (text-to-video model)
- Whisper (speech recognition system)
- OpenAI Codex
- ChatGPT Pro
- GPT-5.5
- Operator (an AI agent and tool for accessing websites)
- Deep Research Agent
- ChatGPT Atlas
- GPT Image

These systems represent various applications and enhancements developed by OpenAI in the field of artificial intelligence.","The OpenAI products or systems listed around ChatGPT are ChatGPT Deep Research, ChatGPT Search, ChatGPT Atlas, OpenAI Codex, Whisper (speech recognition system), and Deep Research.",6,5,7,1192,3005,4.11,1.97,5,28,OpenAI,OpenAI|ChatGPT|Sora|Whisper|Codex|Deep Research,OpenAI--[RELEASED]-->ChatGPT Deep Research; OpenAI--[PROVIDES]-->ChatGPT; OpenAI--[RELEASED]-->ChatGPT; OpenAI--[PROVIDES]-->OpenAI Codex; OpenAI--[PROVIDES]-->Deep Research
E07,partnership,hard,How is Disney connected to OpenAI in the corpus?,"Disney said in December 2025 it would invest $1 billion in OpenAI and signed a three-year licensing deal allowing users to generate videos using Sora with Disney, Marvel, Star Wars, and Pixar characters; Disney later exited the deal in late March 2026 because Sora was discontinued.","Disney is connected to OpenAI through a $1 billion investment that Disney announced in December 2025, along with a three-year licensing deal allowing users to generate videos using OpenAI's short-form AI video platform called Sora, which featured over 200 Disney, Marvel, Star Wars, and Pixar characters. However, Disney exited this deal in late March 2026 due to the discontinuation of Sora.","Disney is connected to OpenAI through a $1 billion investment made by Disney in December 2025 and a three-year licensing deal that allows users to generate videos using Sora, OpenAI's short-form AI video platform.",5,4,5,984,3547,1.85,1.68,5,40,OpenAI,Disney|OpenAI,"Disney--[INVESTED_IN]-->OpenAI; OpenAI LP--[FOUNDED_BY]-->OpenAI, Inc.; OpenAI--[HAS_MISSION]-->committed to OpenAI; OpenAI--[HAS_MISSION]-->forbidding them from criticizing OpenAI or acknowledging the existence of the agreement; OpenAI--[HAS_EMPLOYEES]-->OpenAI's Employees"
E08,partnership,hard,What proposed Amazon-OpenAI partnership is mentioned in early 2026?,"Amazon entered advanced discussions to invest up to $50 billion in OpenAI, with OpenAI models potentially integrated into Alexa and internal projects.","The retrieved passages do not mention any proposed Amazon-OpenAI partnership in early 2026. Therefore, there is not enough information to answer the question.","In early 2026, Amazon entered advanced discussions to invest up to $50 billion in OpenAI as part of a potential artificial intelligence partnership. Under the proposed agreement, OpenAI's models could be integrated into Amazon's digital assistant Alexa and other internal projects.",0,3,3,1002,3385,2.02,2.4,5,34,OpenAI,Amazon|OpenAI,"Amazon--[INVESTED_IN]-->OpenAI; OpenAI LP--[FOUNDED_BY]-->OpenAI, Inc.; OpenAI--[HAS_MISSION]-->committed to OpenAI; OpenAI--[HAS_MISSION]-->forbidding them from criticizing OpenAI or acknowledging the existence of the agreement; OpenAI--[HAS_EMPLOYEES]-->OpenAI's Employees"
E09,technical,medium,Why did OpenAI collaborate with Broadcom in 2024?,"OpenAI began collaborating with Broadcom to design a custom AI chip for training and inference, targeted for mass production in 2026 by TSMC, to reduce dependence on Nvidia GPUs.","OpenAI collaborated with Broadcom in 2024 to design a custom AI chip capable of both training and inference, with the intention of reducing OpenAI's dependence on Nvidia GPUs, which are costly and face high demand in the market.","OpenAI began collaborating with Broadcom to design a custom AI chip capable of both training and inference, targeted for mass production in 2026. This initiative aimed to reduce OpenAI's dependence on Nvidia GPUs, which are costly.",4,5,5,917,3801,1.65,2.23,5,49,OpenAI,OpenAI|Broadcom,"OpenAI, Inc.--[FOUNDED_BY]-->Elon Musk; OpenAI, Inc.--[FOUNDED_BY]-->Ilya Sutskever; OpenAI, Inc.--[FOUNDED_BY]-->Trevor Blackwell; OpenAI, Inc.--[FOUNDED_BY]-->Vicki Cheung; OpenAI, Inc.--[FOUNDED_BY]-->Andrej Karpathy"
E10,valuation,easy,What valuation is Anthropic estimated to have as of February 2026?,Anthropic is described as privately held and valued at an estimated $380 billion as of February 2026.,"As of February 2026, Anthropic is estimated to have a post-money valuation of $380 billion.",Anthropic is estimated to have a valuation of $380 billion as of February 2026.,2,2,2,1153,2592,1.08,1.67,5,19,Anthropic,Anthropic,Anthropic--[VALUED_AT]-->$380 billion; Anthropic--[VALUED_AT]-->$61.5 billion; Anthropic--[VALUED_AT]-->$183 billion; Anthropic--[VALUED_AT]-->$350 billion; Anthropic--[VALUED_AT]-->US$380 billion
