question_id,question_type,difficulty,question,gold_answer,flat_rag_answer,graphrag_answer,hybrid_rag_answer,flat_rag_score,graphrag_score,hybrid_rag_score,max_score,flat_rag_tokens,graphrag_tokens,hybrid_rag_tokens,flat_rag_time,graphrag_time,hybrid_rag_time,flat_rag_chunks,graphrag_triples,hybrid_rag_chunks,hybrid_rag_triples,flat_rag_sources,graphrag_entities,graphrag_top_triples,hybrid_rag_sources,hybrid_rag_entities,hybrid_rag_top_triples
E01,ownership,medium,"According to the corpus, how is OpenAI ownership split in 2026?","OpenAI ownership is listed as employees and investors 47%, Microsoft 27%, and OpenAI Foundation 26%.","According to the corpus, the ownership of OpenAI in 2026 is split as follows: Microsoft owns 27%, the OpenAI Foundation holds 26%, and the remaining 47% is owned by employees and investors.","In 2026, OpenAI ownership is split as follows:
- Employees and other investors: 47%
- Microsoft: 27%
- OpenAI Foundation: 26%","As of 2026, OpenAI's ownership is split as follows:

- Employees and other investors: **47%**
- Microsoft: **27%**
- OpenAI Foundation: **26%** 

This structure reflects a diverse ownership model with significant stakes held by employees, Microsoft, and the nonprofit OpenAI Foundation.",3,3,3,3,1129,3122,4236,3.54,4.35,4.58,5,27,5,27,OpenAI,OpenAI,"OpenAI, Inc.--[HAS_OWNERSHIP_SHARE]-->100%; OpenAI--[HAS_OWNERSHIP_SHARE]-->26%; OpenAI--[HAS_OWNERSHIP_SHARE]-->100 times any investment; OpenAI LP--[FOUNDED_BY]-->OpenAI, Inc.; OpenAI Foundation--[HAS_OWNERSHIP_SHARE]-->26%",OpenAI p4 c0|OpenAI p3 c1|OpenAI p4 c3|OpenAI p2 c0|OpenAI p7 c0,OpenAI,"OpenAI, Inc.--[HAS_OWNERSHIP_SHARE]-->100%; OpenAI--[HAS_OWNERSHIP_SHARE]-->26%; OpenAI--[HAS_OWNERSHIP_SHARE]-->100 times any investment; OpenAI LP--[FOUNDED_BY]-->OpenAI, Inc.; OpenAI Foundation--[HAS_OWNERSHIP_SHARE]-->26%"
E02,valuation,easy,What valuation did OpenAI reach in its October 2025 share sale?,OpenAI conducted a $6.6 billion share sale in October 2025 that valued the company at $500 billion.,"In its October 2025 employee share sale, OpenAI was valued at $500 billion.",OpenAI reached a valuation of $500 billion in its October 2025 share sale.,"In its October 2025 share sale, OpenAI was valued at $500 billion. This capital raise was part of an employee share sale of up to $10 billion to existing investors.",2,2,2,3,987,3204,4194,1.11,3.5,12.02,5,34,5,34,OpenAI,OpenAI,"OpenAI LP--[FOUNDED_BY]-->OpenAI, Inc.; OpenAI--[HAS_MISSION]-->committed to OpenAI; OpenAI--[HAS_MISSION]-->forbidding them from criticizing OpenAI or acknowledging the existence of the agreement; OpenAI--[HAS_EMPLOYEES]-->OpenAI's Employees; OpenAI--[RAISED]-->$110 billion",OpenAI p7 c0|OpenAI p5 c3|OpenAI p6 c4|OpenAI p5 c4|OpenAI p7 c1,OpenAI,"OpenAI LP--[FOUNDED_BY]-->OpenAI, Inc.; OpenAI--[HAS_MISSION]-->committed to OpenAI; OpenAI--[HAS_MISSION]-->forbidding them from criticizing OpenAI or acknowledging the existence of the agreement; OpenAI--[HAS_EMPLOYEES]-->OpenAI's Employees; OpenAI--[RAISED]-->$110 billion"
E03,financial,easy,What revenue and estimated net income does the corpus list for OpenAI in 2025?,OpenAI is listed with US$13.1 billion revenue in 2025 and an estimated US$9 billion net loss.,The corpus lists OpenAI's revenue for 2025 as $13.1 billion and estimates its net income as −$9 billion for that year.,"For OpenAI in 2025, the revenue is listed as US$13.1 billion, and the estimated net income is US$−9 billion.","In 2025, OpenAI reported a revenue of **US$13.1 billion** and an estimated net income of **US$−9 billion**.",3,3,3,4,1029,3213,4211,1.7,2.07,3.85,5,34,5,34,OpenAI,OpenAI,OpenAI--[HAS_REVENUE]-->$12 billion; OpenAI--[HAS_REVENUE]-->$3.7 billion; OpenAI--[HAS_REVENUE]-->tiered revenue model; OpenAI--[HAS_REVENUE]-->200 million; OpenAI--[HAS_REVENUE]-->1 billion,OpenAI p2 c0|OpenAI p6 c4|OpenAI p6 c3|OpenAI p5 c4|OpenAI p5 c3,OpenAI,OpenAI--[HAS_REVENUE]-->$12 billion; OpenAI--[HAS_REVENUE]-->$3.7 billion; OpenAI--[HAS_REVENUE]-->tiered revenue model; OpenAI--[HAS_REVENUE]-->200 million; OpenAI--[HAS_REVENUE]-->1 billion
E04,governance,medium,What happened to Sam Altman in November 2023 according to the OpenAI article?,"OpenAI's board removed Sam Altman as CEO in November 2023, then reinstated him five days later after a board reconstruction.","In November 2023, Sam Altman was removed as CEO of OpenAI by its board of directors due to a cited lack of confidence in him. Mira Murati, the Chief Technology Officer, took over as interim CEO. However, following pressure from investors such as Microsoft and Thrive Capital, there were talks of Altman potentially returning as CEO. Negotiations for his return ultimately failed, and Murati was replaced by Emmett Shear as interim CEO on November 19, 2023. Subsequently, on November 20, 2023, Microsoft CEO Satya Nadella announced that Altman and Greg Brockman would be joining Microsoft to lead a new advanced AI research team, while still being committed to OpenAI.","In November 2023, Sam Altman was removed as CEO of OpenAI by the board, citing a lack of confidence in him. He was reinstated five days later following a reconstruction of the board.","In November 2023, Sam Altman was removed as CEO of OpenAI by the board of directors, which cited a lack of confidence in him. This decision led to widespread backlash among employees, with approximately 738 of the 770 employees signing an open letter threatening to resign and join Microsoft if Altman wasn't reinstated. Following significant pressure from investors, including Microsoft, he was reinstated just five days later, on November 21, 2023. During this period, the board was also restructured, with Bret Taylor appointed as chairman and Lawrence Summers joining the board.",3,5,5,5,1194,3828,4950,3.79,2.25,9.12,5,49,5,49,OpenAI,Sam Altman|OpenAI|Altman,"OpenAI, Inc.--[FOUNDED_BY]-->Sam Altman; Altman--[CEO_OF]-->OpenAI; OpenAI, Inc.--[FOUNDED_BY]-->Elon Musk; OpenAI, Inc.--[FOUNDED_BY]-->Ilya Sutskever; OpenAI, Inc.--[FOUNDED_BY]-->Trevor Blackwell",OpenAI p12 c2|OpenAI p14 c0|OpenAI p13 c0|OpenAI p13 c3|OpenAI p13 c2,Sam Altman|OpenAI|Altman,"OpenAI, Inc.--[FOUNDED_BY]-->Sam Altman; Altman--[CEO_OF]-->OpenAI; OpenAI, Inc.--[FOUNDED_BY]-->Elon Musk; OpenAI, Inc.--[FOUNDED_BY]-->Ilya Sutskever; OpenAI, Inc.--[FOUNDED_BY]-->Trevor Blackwell"
E05,founding,medium,Who pledged OpenAI's initial $1 billion in capital?,"The corpus says $1 billion was pledged by Elon Musk, Sam Altman, Greg Brockman, Reid Hoffman, Jessica Livingston, Peter Thiel, Amazon Web Services, and Infosys.","Elon Musk, Sam Altman, Greg Brockman, Reid Hoffman, Jessica Livingston, Peter Thiel, Amazon Web Services (AWS), and Infosys pledged OpenAI's initial $1 billion in capital.","A total of $1 billion in capital was pledged by Elon Musk, Sam Altman, Greg Brockman, Reid Hoffman, Jessica Livingston, Peter Thiel, Amazon Web Services (AWS), and Infosys.","The initial $1 billion in capital for OpenAI was pledged by Elon Musk, Sam Altman, Greg Brockman, Reid Hoffman, Jessica Livingston, Peter Thiel, Amazon Web Services (AWS), and Infosys.",6,6,6,6,1025,3305,4295,1.48,2.29,4.39,5,35,5,35,OpenAI,OpenAI,"OpenAI LP--[FOUNDED_BY]-->OpenAI, Inc.; OpenAI--[HAS_MISSION]-->committed to OpenAI; OpenAI--[HAS_MISSION]-->forbidding them from criticizing OpenAI or acknowledging the existence of the agreement; OpenAI--[HAS_EMPLOYEES]-->OpenAI's Employees; OpenAI LP--[INVESTED_IN]-->Microsoft",OpenAI p1 c3|OpenAI p5 c2|OpenAI p2 c0|OpenAI p5 c3|OpenAI p1 c2,OpenAI,"OpenAI LP--[FOUNDED_BY]-->OpenAI, Inc.; OpenAI--[HAS_MISSION]-->committed to OpenAI; OpenAI--[HAS_MISSION]-->forbidding them from criticizing OpenAI or acknowledging the existence of the agreement; OpenAI--[HAS_EMPLOYEES]-->OpenAI's Employees; OpenAI LP--[INVESTED_IN]-->Microsoft"
E06,timeline,medium,"What OpenAI products or systems are listed around ChatGPT, Sora, Whisper, Codex, and Deep Research?","The corpus lists ChatGPT, Deep Research, ChatGPT Search, ChatGPT Atlas, OpenAI Codex, Sora, Whisper, and an API giving access to OpenAI models.","The OpenAI products and systems listed around ChatGPT, Sora, Whisper, Codex, and Deep Research include:

1. ChatGPT
2. Sora (text-to-video model)
3. Whisper (speech recognition system)
4. OpenAI Codex
5. Deep Research
6. ChatGPT Pro (subscription service)
7. OpenAI o1 (early reasoning model)
8. Operator (AI agent for accessing websites)
9. ChatGPT Atlas (web browser integrating ChatGPT)
10. GPT-5.5
11. GPT-4
12. GPT-5.2

Additionally, there are mentions of various iterations and enhanced versions of these systems over time.","The OpenAI products or systems listed around ChatGPT, Sora, Whisper, Codex, and Deep Research include:

- ChatGPT Deep Research
- ChatGPT Search
- ChatGPT Atlas
- OpenAI Codex
- Sora (text-to-video model)
- Whisper (speech recognition system)
- ChatGPT agent
- ChatGPT Health","The products and systems listed around ChatGPT, Sora, Whisper, Codex, and Deep Research include:

1. **ChatGPT**: This product is a chatbot based on the GPT-3.5 model and was released in November 2022.
2. **Sora**: This is a text-to-video model launched by OpenAI in December 2024.
3. **Whisper**: This is a speech recognition system developed by OpenAI.
4. **OpenAI Codex**: This product provides generative AI capabilities and was released by OpenAI.
5. **Deep Research**: Another product offered by OpenAI that focuses on deep research applications.

These products are part of a broader suite of offerings from OpenAI, which also includes ChatGPT Deep Research, ChatGPT Search, ChatGPT Atlas, ChatGPT Health, and the ChatGPT Agent. Each of these products serves different use cases within the artificial intelligence landscape.",6,6,6,7,1221,3037,4231,4.52,3.82,7.77,5,28,5,28,OpenAI,OpenAI|ChatGPT|Sora|Whisper|Codex|Deep Research,OpenAI--[RELEASED]-->ChatGPT Deep Research; OpenAI--[PROVIDES]-->ChatGPT; OpenAI--[RELEASED]-->ChatGPT; OpenAI--[PROVIDES]-->OpenAI Codex; OpenAI--[PROVIDES]-->Deep Research,OpenAI p9 c1|OpenAI p10 c2|OpenAI p1 c0|OpenAI p10 c3|OpenAI p10 c1,OpenAI|ChatGPT|Sora|Whisper|Codex|Deep Research,OpenAI--[RELEASED]-->ChatGPT Deep Research; OpenAI--[PROVIDES]-->ChatGPT; OpenAI--[RELEASED]-->ChatGPT; OpenAI--[PROVIDES]-->OpenAI Codex; OpenAI--[PROVIDES]-->Deep Research
E07,partnership,hard,How is Disney connected to OpenAI in the corpus?,"Disney said in December 2025 it would invest $1 billion in OpenAI and signed a three-year licensing deal allowing users to generate videos using Sora with Disney, Marvel, Star Wars, and Pixar characters; Disney later exited the deal in late March 2026 because Sora was discontinued.","Disney is connected to OpenAI through a $1 billion investment made in December 2025, along with a three-year licensing deal that allowed users to generate videos using Sora, OpenAI's short-form AI video platform, which included access to over 200 Disney, Marvel, Star Wars, and Pixar characters. However, Disney exited this deal in late March 2026 due to the discontinuation of the Sora platform.","Disney made a $1 billion investment in OpenAI and signed a three-year licensing deal in December 2025 that allowed users to generate videos using Sora—OpenAI's short-form AI video platform. More than 200 Disney, Marvel, Star Wars, and Pixar characters would be available to OpenAI users. However, Disney exited this deal in late March 2026 due to Sora being discontinued.","Disney is connected to OpenAI through a significant investment and a licensing deal. In December 2025, Disney announced it would make a $1 billion investment in OpenAI and signed a three-year licensing deal to allow users to generate videos using Sora, OpenAI's short-form AI video platform. The deal included access to over 200 characters from Disney, Marvel, Star Wars, and Pixar for OpenAI users. However, Disney exited this deal in late March 2026 due to the discontinuation of the Sora platform. This information illustrates the close relationship between the two organizations as well as the challenges that can arise in collaborative ventures.",5,5,5,5,987,3584,4538,4.65,3.34,5.34,5,40,5,40,OpenAI,Disney|OpenAI,"Disney--[INVESTED_IN]-->OpenAI; OpenAI LP--[FOUNDED_BY]-->OpenAI, Inc.; OpenAI--[HAS_MISSION]-->committed to OpenAI; OpenAI--[HAS_MISSION]-->forbidding them from criticizing OpenAI or acknowledging the existence of the agreement; OpenAI--[HAS_EMPLOYEES]-->OpenAI's Employees",OpenAI p8 c2|OpenAI p2 c4|OpenAI p1 c3|OpenAI p1 c1|OpenAI p1 c0,Disney|OpenAI,"Disney--[INVESTED_IN]-->OpenAI; OpenAI LP--[FOUNDED_BY]-->OpenAI, Inc.; OpenAI--[HAS_MISSION]-->committed to OpenAI; OpenAI--[HAS_MISSION]-->forbidding them from criticizing OpenAI or acknowledging the existence of the agreement; OpenAI--[HAS_EMPLOYEES]-->OpenAI's Employees"
E08,partnership,hard,What proposed Amazon-OpenAI partnership is mentioned in early 2026?,"Amazon entered advanced discussions to invest up to $50 billion in OpenAI, with OpenAI models potentially integrated into Alexa and internal projects.","The retrieved passages do not contain information about a proposed Amazon-OpenAI partnership in early 2026. Therefore, I cannot provide an answer to that question.","In early 2026, Amazon entered advanced discussions to invest up to $50 billion in OpenAI as part of a potential artificial intelligence partnership, under which OpenAI's models could be integrated into Amazon's digital assistant Alexa and other internal projects.","In early 2026, Amazon entered advanced discussions to invest up to $50 billion in OpenAI as part of a potential artificial intelligence partnership. Under the proposed agreement, OpenAI's models could be integrated into Amazon's digital assistant, Alexa, and other internal projects. This investment was part of a larger round in which OpenAI raised $110 billion at a $730 billion valuation, ultimately extended to $120 billion in March 2026.",0,3,3,3,1003,3382,4395,1.76,4.1,7.31,5,34,5,34,OpenAI,Amazon|OpenAI,"Amazon--[INVESTED_IN]-->OpenAI; OpenAI LP--[FOUNDED_BY]-->OpenAI, Inc.; OpenAI--[HAS_MISSION]-->committed to OpenAI; OpenAI--[HAS_MISSION]-->forbidding them from criticizing OpenAI or acknowledging the existence of the agreement; OpenAI--[HAS_EMPLOYEES]-->OpenAI's Employees",OpenAI p8 c3|OpenAI p15 c0|OpenAI p7 c1|OpenAI p4 c3|OpenAI p5 c0,Amazon|OpenAI,"Amazon--[INVESTED_IN]-->OpenAI; OpenAI LP--[FOUNDED_BY]-->OpenAI, Inc.; OpenAI--[HAS_MISSION]-->committed to OpenAI; OpenAI--[HAS_MISSION]-->forbidding them from criticizing OpenAI or acknowledging the existence of the agreement; OpenAI--[HAS_EMPLOYEES]-->OpenAI's Employees"
E09,technical,medium,Why did OpenAI collaborate with Broadcom in 2024?,"OpenAI began collaborating with Broadcom to design a custom AI chip for training and inference, targeted for mass production in 2026 by TSMC, to reduce dependence on Nvidia GPUs.","OpenAI collaborated with Broadcom in 2024 to design a custom AI chip capable of both training and inference, with the intention of reducing OpenAI's dependence on Nvidia GPUs, which are costly and face high demand in the market.",The context does not provide enough information on why OpenAI collaborated with Broadcom in 2024. The specific reason for the collaboration is missing.,"OpenAI collaborated with Broadcom in 2024 to design a custom AI chip capable of both training and inference, targeting mass production in 2026. This initiative aimed to reduce OpenAI's dependence on Nvidia GPUs, which are noted for being costly and facing high demand in the market.",4,0,5,5,917,3784,4687,1.97,2.32,7.31,5,49,5,49,OpenAI,OpenAI|Broadcom,"OpenAI, Inc.--[FOUNDED_BY]-->Elon Musk; OpenAI, Inc.--[FOUNDED_BY]-->Ilya Sutskever; OpenAI, Inc.--[FOUNDED_BY]-->Trevor Blackwell; OpenAI, Inc.--[FOUNDED_BY]-->Vicki Cheung; OpenAI, Inc.--[FOUNDED_BY]-->Andrej Karpathy",OpenAI p7 c4|OpenAI p7 c5|OpenAI p8 c1|OpenAI p7 c0|OpenAI p4 c3,OpenAI|Broadcom,"OpenAI, Inc.--[FOUNDED_BY]-->Elon Musk; OpenAI, Inc.--[FOUNDED_BY]-->Ilya Sutskever; OpenAI, Inc.--[FOUNDED_BY]-->Trevor Blackwell; OpenAI, Inc.--[FOUNDED_BY]-->Vicki Cheung; OpenAI, Inc.--[FOUNDED_BY]-->Andrej Karpathy"
E10,valuation,easy,What valuation is Anthropic estimated to have as of February 2026?,Anthropic is described as privately held and valued at an estimated $380 billion as of February 2026.,"As of February 2026, Anthropic is estimated to have a post-money valuation of $380 billion after raising $30 billion in a Series G funding round.",Anthropic is estimated to have a valuation of $380 billion as of February 2026.,"As of February 2026, Anthropic is estimated to have a valuation of $380 billion. This was confirmed following the announcement of a $30 billion raise in a Series G funding round on February 12, 2026, which brought its post-money valuation to this amount.",2,2,2,2,1164,2592,3763,1.83,1.59,3.1,5,19,5,19,Anthropic,Anthropic,Anthropic--[VALUED_AT]-->$380 billion; Anthropic--[VALUED_AT]-->$61.5 billion; Anthropic--[VALUED_AT]-->$183 billion; Anthropic--[VALUED_AT]-->$350 billion; Anthropic--[VALUED_AT]-->US$380 billion,Anthropic p4 c3|Anthropic p4 c2|Anthropic p14 c0|Anthropic p14 c3|Anthropic p14 c1,Anthropic,Anthropic--[VALUED_AT]-->$380 billion; Anthropic--[VALUED_AT]-->$61.5 billion; Anthropic--[VALUED_AT]-->$183 billion; Anthropic--[VALUED_AT]-->$350 billion; Anthropic--[VALUED_AT]-->US$380 billion
